Scenario,k,M,Data,Precision,Recall,F1
2,5,50,real,0.8242 ± 0.1472,0.7929 ± 0.0491,0.7977 ± 0.0532
2,5,50,synthetic,0.1659 ± 0.1346,0.4071 ± 0.0994,0.2080 ± 0.1490
2,5,86,real,0.6570 ± 0.2518,0.7810 ± 0.0788,0.6961 ± 0.1873
2,5,86,synthetic,0.3235 ± 0.1739,0.3929 ± 0.2164,0.3139 ± 0.1539
2,10,50,real,0.8454 ± 0.1745,0.8440 ± 0.0592,0.8333 ± 0.0942
2,10,50,synthetic,0.4347 ± 0.3052,0.4940 ± 0.1974,0.3580 ± 0.2211
2,10,86,real,0.7259 ± 0.2311,0.8238 ± 0.0490,0.7513 ± 0.1572
2,10,86,synthetic,0.5010 ± 0.2173,0.5726 ± 0.1981,0.4855 ± 0.1436
3,5,50,real,0.2450 ± 0.3611,0.3025 ± 0.1174,0.1341 ± 0.0781
3,5,50,synthetic,0.4528 ± 0.3670,0.4135 ± 0.1187,0.3288 ± 0.2040
3,5,86,real,0.0383 ± 0.0303,0.2278 ± 0.1693,0.0601 ± 0.0413
3,5,86,synthetic,0.6261 ± 0.3945,0.3962 ± 0.1572,0.3881 ± 0.2048
3,10,50,real,0.1575 ± 0.2290,0.2948 ± 0.1716,0.1339 ± 0.1027
3,10,50,synthetic,0.6723 ± 0.3032,0.4754 ± 0.1145,0.5138 ± 0.1868
3,10,86,real,0.2534 ± 0.3059,0.2923 ± 0.2010,0.1559 ± 0.1376
3,10,86,synthetic,0.9025 ± 0.0984,0.4615 ± 0.1010,0.6000 ± 0.0875
