Q,n,window,lambda,num_hashes,bloom_size,utilization,threshold,precision,recall,f1,TP,FP,FN,TN
8,2,100,0.1,5,1000000,0.22118,0,0,0,0,0,0,0,20000
8,2,100,0.1,7,1000000,0.295155,0,0,0,0,0,0,0,20000
8,2,100,0.15,5,1000000,0.22118,0,0,0,0,0,0,0,20000
8,2,100,0.15,7,1000000,0.295155,0,0,0,0,0,0,0,20000
8,2,150,0.1,5,1000000,0.22118,0,0,0,0,0,0,0,20000
8,2,150,0.1,7,1000000,0.295155,0,0,0,0,0,0,0,20000
8,2,150,0.15,5,1000000,0.22118,0,0,0,0,0,0,0,20000
8,2,150,0.15,7,1000000,0.295155,0,0,0,0,0,0,0,20000
8,3,100,0.1,5,1000000,0.221103,0,0,0,0,0,0,0,20000
8,3,100,0.1,7,1000000,0.295256,0,0,0,0,0,0,0,20000
8,3,100,0.15,5,1000000,0.221103,0,0,0,0,0,0,0,20000
8,3,100,0.15,7,1000000,0.295256,0,0,0,0,0,0,0,20000
8,3,150,0.1,5,1000000,0.221103,0,0,0,0,0,0,0,20000
8,3,150,0.1,7,1000000,0.295256,0,0,0,0,0,0,0,20000
8,3,150,0.15,5,1000000,0.221103,0,0,0,0,0,0,0,20000
8,3,150,0.15,7,1000000,0.295256,0,0,0,0,0,0,0,20000
12,2,100,0.1,5,1000000,0.22111,0,0,0,0,0,0,0,20000
12,2,100,0.1,7,1000000,0.295224,0,0,0,0,0,0,0,20000
12,2,100,0.15,5,1000000,0.22111,0,0,0,0,0,0,0,20000
12,2,100,0.15,7,1000000,0.295224,0,0,0,0,0,0,0,20000
12,2,150,0.1,5,1000000,0.22111,0,0,0,0,0,0,0,20000
12,2,150,0.1,7,1000000,0.295224,0,0,0,0,0,0,0,20000
12,2,150,0.15,5,1000000,0.22111,0,0,0,0,0,0,0,20000
12,2,150,0.15,7,1000000,0.295224,0,0,0,0,0,0,0,20000
12,3,100,0.1,5,1000000,0.221115,0,0,0,0,0,0,0,20000
12,3,100,0.1,7,1000000,0.295279,0,0,0,0,0,0,0,20000
12,3,100,0.15,5,1000000,0.221115,0,0,0,0,0,0,0,20000
12,3,100,0.15,7,1000000,0.295279,0,0,0,0,0,0,0,20000
12,3,150,0.1,5,1000000,0.221115,0,0,0,0,0,0,0,20000
12,3,150,0.1,7,1000000,0.295279,0,0,0,0,0,0,0,20000
12,3,150,0.15,5,1000000,0.221115,0,0,0,0,0,0,0,20000
12,3,150,0.15,7,1000000,0.295279,0,0,0,0,0,0,0,20000
15,2,100,0.1,5,1000000,0.221085,0,0,0,0,0,0,0,20000
15,2,100,0.1,7,1000000,0.295435,0,0,0,0,0,0,0,20000
15,2,100,0.15,5,1000000,0.221085,0,0,0,0,0,0,0,20000
15,2,100,0.15,7,1000000,0.295435,0,0,0,0,0,0,0,20000
15,2,150,0.1,5,1000000,0.221085,0,0,0,0,0,0,0,20000
15,2,150,0.1,7,1000000,0.295435,0,0,0,0,0,0,0,20000
15,2,150,0.15,5,1000000,0.221085,0,0,0,0,0,0,0,20000
15,2,150,0.15,7,1000000,0.295435,0,0,0,0,0,0,0,20000
15,3,100,0.1,5,1000000,0.221226,0,0,0,0,0,0,0,20000
15,3,100,0.1,7,1000000,0.295443,0,0,0,0,0,0,0,20000
15,3,100,0.15,5,1000000,0.221226,0,0,0,0,0,0,0,20000
15,3,100,0.15,7,1000000,0.295443,0,0,0,0,0,0,0,20000
15,3,150,0.1,5,1000000,0.221226,0,0,0,0,0,0,0,20000
15,3,150,0.1,7,1000000,0.295443,0,0,0,0,0,0,0,20000
15,3,150,0.15,5,1000000,0.221226,0,0,0,0,0,0,0,20000
15,3,150,0.15,7,1000000,0.295443,0,0,0,0,0,0,0,20000
